file,class_id,class_slug,class_pt,source,source_figure,article_url,doi,authors,license,license_url,change,geography,sha256
"images/01_wildfire_pseudomonas/agronomy_wildfire.jpg","01","01_wildfire_pseudomonas","Mancha bacteriana por Pseudomonas syringae pv. tabaci","Semantic Segmentation of Small Target Diseases on Tobacco Leaves","Figure 1","https://www.mdpi.com/2073-4395/15/8/1825","10.3390/agronomy15081825","Yanze Zou; Zhenping Qiang; Shuang Zhang; Hong Lin","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","00599a20e461ccb630e11df3d7935c5596d22267fe6d128c6efd1e9daec4798c"
"images/01_wildfire_pseudomonas/agronomy_wildfire_segmentation_source.jpg","01","01_wildfire_pseudomonas","Mancha bacteriana por Pseudomonas syringae pv. tabaci","Semantic Segmentation of Small Target Diseases on Tobacco Leaves","Figure 28","https://www.mdpi.com/2073-4395/15/8/1825","10.3390/agronomy15081825","Yanze Zou; Zhenping Qiang; Shuang Zhang; Hong Lin","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","e34199eb5297aa21696b36ab86c99a2f76d8aa7b7c2f02fc8a37835aed9fdced"
"images/01_wildfire_pseudomonas/tla_processed_01_wildfire_pseudomonas.jpg","01","01_wildfire_pseudomonas","Mancha bacteriana por Pseudomonas syringae pv. tabaci","TLA — Tobacco Leaf Abnormality Dataset","Figure 5","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","5674c6f46ab5cf6f75401e9699fd82dfb4debabfa5d4a7015fbf3bb330d22bb2"
"images/01_wildfire_pseudomonas/tla_raw_01_wildfire_pseudomonas.jpg","01","01_wildfire_pseudomonas","Mancha bacteriana por Pseudomonas syringae pv. tabaci","TLA — Tobacco Leaf Abnormality Dataset","Figure 4","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","381e176a3302f951f7c8b439946ea88075c66d7ae680dd99790a9db7a3bb4598"
"images/01_wildfire_pseudomonas/tla_wildfire_symptom_1.jpg","01","01_wildfire_pseudomonas","Mancha bacteriana por Pseudomonas syringae pv. tabaci","TLA — Tobacco Leaf Abnormality Dataset","Figure 11","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","22dddd572d9431c4f4fd4ce6250ad2fbaca1ec096c8e65c034bcae44418c4ce5"
"images/01_wildfire_pseudomonas/tla_wildfire_symptom_2.jpg","01","01_wildfire_pseudomonas","Mancha bacteriana por Pseudomonas syringae pv. tabaci","TLA — Tobacco Leaf Abnormality Dataset","Figure 11","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","834d7505353ee4e5700069692277fd7d753f7adf63402539773bd7809ea940dc"
"images/01_wildfire_pseudomonas/tla_wildfire_symptom_3.jpg","01","01_wildfire_pseudomonas","Mancha bacteriana por Pseudomonas syringae pv. tabaci","TLA — Tobacco Leaf Abnormality Dataset","Figure 11","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","588f7d24df13dffe409ef5dc403e68dfc75bd76dc24bdf3098ddc8465a2aaecc"
"images/01_wildfire_pseudomonas/tla_wildfire_symptom_4.jpg","01","01_wildfire_pseudomonas","Mancha bacteriana por Pseudomonas syringae pv. tabaci","TLA — Tobacco Leaf Abnormality Dataset","Figure 11","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","ac46971b104cf4403cc6a4568ec80d5b23c8e98267692341c8a124430793ba2a"
"images/01_wildfire_pseudomonas/tla_wildfire_symptom_5.jpg","01","01_wildfire_pseudomonas","Mancha bacteriana por Pseudomonas syringae pv. tabaci","TLA — Tobacco Leaf Abnormality Dataset","Figure 11","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","310b02ccaaeb57d5206f4a36f7ff58515620f4dfcf51fe4178a0c82b3632c2ee"
"images/02_brown_spot_alternaria/tla_processed_02_brown_spot_alternaria.jpg","02","02_brown_spot_alternaria","Mancha de alternária","TLA — Tobacco Leaf Abnormality Dataset","Figure 5","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","6df69d9fec7d8b1c47fb78348fa173bca2de80c68ee62f0061deae84f9ff76ca"
"images/02_brown_spot_alternaria/tla_raw_02_brown_spot_alternaria.jpg","02","02_brown_spot_alternaria","Mancha de alternária","TLA — Tobacco Leaf Abnormality Dataset","Figure 4","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","37272aea6d05494ef0768a3ecc8f833c0c55f4d13594ac1a8aff0a37e53a131e"
"images/03_frog_eye_cercospora/agronomy_frog_eye.jpg","03","03_frog_eye_cercospora","Mancha olho-de-rã por Cercospora nicotianae","Semantic Segmentation of Small Target Diseases on Tobacco Leaves","Figure 1","https://www.mdpi.com/2073-4395/15/8/1825","10.3390/agronomy15081825","Yanze Zou; Zhenping Qiang; Shuang Zhang; Hong Lin","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","d8346eb0fceaf65de67dc2d08a50277374932b3eec6b343f503d13ce8696a40a"
"images/03_frog_eye_cercospora/agronomy_frog_eye_segmentation_source.jpg","03","03_frog_eye_cercospora","Mancha olho-de-rã por Cercospora nicotianae","Semantic Segmentation of Small Target Diseases on Tobacco Leaves","Figure 26","https://www.mdpi.com/2073-4395/15/8/1825","10.3390/agronomy15081825","Yanze Zou; Zhenping Qiang; Shuang Zhang; Hong Lin","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","3445c77c7ee49f449fc057ee304d84e67891a86da9d7a6927b76eb7e6b65bc9a"
"images/03_frog_eye_cercospora/tla_processed_03_frog_eye_cercospora.jpg","03","03_frog_eye_cercospora","Mancha olho-de-rã por Cercospora nicotianae","TLA — Tobacco Leaf Abnormality Dataset","Figure 5","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","01d6b47a5a8169f19f8591ddd144a8157a9af6ae7a241413e4ccc9b0a4a4b9da"
"images/03_frog_eye_cercospora/tla_raw_03_frog_eye_cercospora.jpg","03","03_frog_eye_cercospora","Mancha olho-de-rã por Cercospora nicotianae","TLA — Tobacco Leaf Abnormality Dataset","Figure 4","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","5f4357a3f71c46a3cf52815ed2363351ca386d6f438845904c209174da6c9341"
"images/04_anthracnose/tla_processed_04_anthracnose.jpg","04","04_anthracnose","Antracnose do tabaco","TLA — Tobacco Leaf Abnormality Dataset","Figure 5","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","6f74e4506b1fb506d509574f070a21af7f5c5343c48a51ceed7320c0e3ba1ac6"
"images/04_anthracnose/tla_raw_04_anthracnose.jpg","04","04_anthracnose","Antracnose do tabaco","TLA — Tobacco Leaf Abnormality Dataset","Figure 4","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","63f4d2e789ec8d8ad87731b69ca827a661bf9741f1d46503cd9df616ce032238"
"images/05_target_spot/tla_processed_05_target_spot.jpg","05","05_target_spot","Mancha-alvo","TLA — Tobacco Leaf Abnormality Dataset","Figure 5","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","b0c9e1fe78d3f1c4035186ab602881394a8bf652d0baf754d3f68200c43ad5ce"
"images/05_target_spot/tla_raw_05_target_spot.jpg","05","05_target_spot","Mancha-alvo","TLA — Tobacco Leaf Abnormality Dataset","Figure 4","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","457ddeb04efdefa2757c1747aea09f7648f4ef04c9ec6314b50f98dcaad7c086"
"images/06_black_shank/tla_processed_06_black_shank.jpg","06","06_black_shank","Podridão-negra-do-pé por Phytophthora nicotianae","TLA — Tobacco Leaf Abnormality Dataset","Figure 5","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","b8cbd9518a5058be0355f186f6d6efc6c8f1e605a5fa0c4d679ef95ad686db7f"
"images/06_black_shank/tla_raw_06_black_shank.jpg","06","06_black_shank","Podridão-negra-do-pé por Phytophthora nicotianae","TLA — Tobacco Leaf Abnormality Dataset","Figure 4","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","69c03c447df4620f7aea3d95f0ae4ff471be3eac0caa481785e0a8bf597c0c35"
"images/07_tmv/tla_processed_07_tmv.jpg","07","07_tmv","Mosaico do tabaco (TMV)","TLA — Tobacco Leaf Abnormality Dataset","Figure 5","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","e6e073e901af537d3f97f80c4477f226e911f7e30dc53c19993d83bed4d65fc6"
"images/07_tmv/tla_raw_07_tmv.jpg","07","07_tmv","Mosaico do tabaco (TMV)","TLA — Tobacco Leaf Abnormality Dataset","Figure 4","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","70be860ae983d4aa45e9cdfab512934069ad566c67db9502f6b12ff72e43c3d5"
"images/08_cmv/tla_processed_08_cmv.jpg","08","08_cmv","Mosaico do pepino em tabaco (CMV)","TLA — Tobacco Leaf Abnormality Dataset","Figure 5","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1333236/full","10.3389/fpls.2024.1333236","Hong Lin; Zhenping Qiang; Rita Tse; Su-Kit Tang; Giovanni Pau","CC BY 4.0","https://creativecommons.org/licenses/by/4.0/","Crop from published figure; labels removed","China","7b5878c6225006695819ffd6178c09f1e4b1f5c54831e16f4dc42999eb363d86"
